job_id,sort_order,city,district
ba413a94fb16fb81,0,Hà Nội,Cầu Giấy
b8da0c2c98700f76,0,Hà Nội,Cầu Giấy
2594f20b75943356,0,Cần Thơ,Ninh Kiều
773473538b49a703,0,Hà Nội,Cầu Giấy
f9099dcb16f7cacb,0,Hồ Chí Minh,Phú Nhuận
a778159158010814,0,Hồ Chí Minh,Tân Bình
3b15e6208196da66,0,Hà Nội,Hai Bà Trưng
f7e5f955fc69ed58,0,Hà Nội,Nam Từ Liêm
3aeecb615ca18649,0,Hà Nội,Nam Từ Liêm
ad3377eab2878946,0,Hà Nội,Thạch Thất
3c5ee231c25b75ed,0,Hà Nội,Nam Từ Liêm
5fe0e61916bf7371,0,Hà Nội,Nam Từ Liêm
ab8fc137a323cc9a,0,Hà Nội,Cầu Giấy
c9095cd7c356fb8f,0,Hà Nội,Cầu Giấy
c12d78003fbc16b9,0,Hà Nội,
9b2f51076fb8a52b,0,Hà Nội,
86523b401957b108,0,Hà Nội,
06af2476b8d833e3,0,Hà Nội,Đống Đa
aa5c961a56795386,0,Hồ Chí Minh,Quận 2
aa5c961a56795386,1,Hồ Chí Minh,Quận 12
e9830de73ee22400,0,Hà Nội,Hoàng Mai
42e3f2791c615c29,0,Hồ Chí Minh,Bình Thạnh
0cc943d4f3d036b8,0,Hà Nội,Hoàn Kiếm
8240d2f625d081f3,0,Hồ Chí Minh,Tân Bình
760acb8c0329bb5e,0,Hà Nội,
05cf4aa4f3d47b58,0,Hà Nội,Thanh Xuân
ef60294245cd72da,0,Hà Nội,Nam Từ Liêm
9afcdfce87d70080,0,Hà Nội,Hai Bà Trưng
805911f243786f23,0,Hà Nội,Cầu Giấy
e6d99f0bd58c760e,0,Hà Nội,Cầu Giấy
40168178d48e4719,0,Hà Nội,Đống Đa
bea6eb29f3fa7d7d,0,Hồ Chí Minh,Phú Nhuận
c04d4df5fdf0b546,0,Hồ Chí Minh,Quận 7
6fbf14fac151006c,0,Hà Nội,Cầu Giấy
4d7e8e328717ec5d,0,Thừa Thiên Huế,TP Huế
c9ef2d8820423302,0,Hồ Chí Minh,Quận 7
7577cff258a935d6,0,Hà Nội,Cầu Giấy
9b5086495c3422e1,0,Hà Nội,Cầu Giấy
f8d0e8ea8f71e80a,0,Hà Nội,Bắc Từ Liêm
b721e8fa0fd9b3f1,0,Hà Nội,
4628ab39cd4d1899,0,Hà Nội,Thanh Xuân
de3dcf4b030dc15b,0,Đà Nẵng,Sơn Trà
323ed5ac0bb10b18,0,Đà Nẵng,Thanh Khê
730a80f8bde9edc6,0,Đà Nẵng,Thanh Khê
730a80f8bde9edc6,1,Hồ Chí Minh,Quận 4
730a80f8bde9edc6,2,Thừa Thiên Huế,TP Huế
d44fd1faa6065e0a,0,Đà Nẵng,Thanh Khê
6cf7f7ac7c602d4e,0,Hồ Chí Minh,Thủ Đức
d391e27a8f61c09c,0,Hồ Chí Minh,Thủ Đức
d391e27a8f61c09c,1,Đà Nẵng,Thanh Khê
d391e27a8f61c09c,2,Thừa Thiên Huế,TP Huế
2123d1de19660ce7,0,Đà Nẵng,Thanh Khê
16d4a66fad9f45a3,0,Đà Nẵng,Thanh Khê
e506c09c5f804966,0,Hồ Chí Minh,Quận 1
e739ed74466a38ba,0,Hà Nội,Hồ Chí Minh
b1485d115de6a975,0,Hà Nội,Hồ Chí Minh
15b8bb8995cdc19a,0,Hà Nội,Hồ Chí Minh
12d53a33735a07cb,0,Hà Nội,Hồ Chí Minh
12d53a33735a07cb,1,Đà Nẵng,
e05bc87403bc1eec,0,Hà Nội,Thanh Trì
63fa6b8dcfe54449,0,Hà Nội,Cầu Giấy
fd773a9f3360e36f,0,Hà Nội,Hồ Chí Minh
39b887a1547cd0b5,0,Hồ Chí Minh,Tân Bình
fb1060173fb75acf,0,Hà Nội,Nam Từ Liêm
19e7ed41fc8ad84b,0,Hà Nội,Hà Đông
276152e7f87609ea,0,Hồ Chí Minh,Hà Nội
f1ecf50ea4323724,0,Hà Nội,Cầu Giấy
2f6297ee2f320a0c,0,Hà Nội,Thanh Xuân
e8fb0655e205a341,0,Hồ Chí Minh,Quận 10
46caa7f8167cfa03,0,Hà Nội,
cc659714eaa49ffa,0,Hà Nội,Cầu Giấy
45d325bfa5b7343e,0,Hà Nội,Nam Từ Liêm
4c769252de8ebc65,0,Hà Nội,Cầu Giấy
c66df8ef45a4d7ad,0,Hà Nội,Cầu Giấy
f672163671ca8c9b,0,Hà Nội,Nam Từ Liêm
8ff15dbd875ed591,0,Hà Nội,Nam Từ Liêm
1d19f3f4a29e0d48,0,Hà Nội,Hà Đông
03354378e86302a0,0,Hà Nội,Hà Đông
68a2422eb34b7697,0,Hồ Chí Minh,Bình Thạnh
6f77926d4b6a4010,0,Hà Nội,Thanh Xuân
b0f0fca66d5ee4a2,0,Hà Nội,
1ccd66814da445a4,0,Hồ Chí Minh,Tân Bình
173786b55ecc0568,0,Hồ Chí Minh,Quận 7
e55656271d5620ec,0,Hà Nội,Bắc Từ Liêm
1343ee0b041d2f7e,0,Hà Nội,Đống Đa
15a518b3a138504b,0,Hồ Chí Minh,Bình Thạnh
15a518b3a138504b,1,Hồ Chí Minh,Phú Nhuận
15a518b3a138504b,2,Hồ Chí Minh,Gò Vấp
15a518b3a138504b,3,Hồ Chí Minh,Thủ Đức
15a518b3a138504b,4,Bình Dương,Dĩ An
15a518b3a138504b,5,Bình Dương,Thuận An
15a518b3a138504b,6,Đồng Nai,Biên Hoà
2790e79493e4b480,0,Hà Nội,Cầu Giấy
e68bc075b426406c,0,Hà Nội,Hoàn Kiếm
052205b4e1dc7629,0,Hà Nội,Nam Từ Liêm
adae66aa597d11cc,0,Hồ Chí Minh,Quận 3
ac4d6d3e02e6f4ba,0,Hà Nội,Hà Đông
4d16deff279dc5be,0,Hà Nội,Thanh Xuân
a26184cc44a1af02,0,Hồ Chí Minh,Thủ Đức
a26184cc44a1af02,1,Hồ Chí Minh,Nhà Bè
a26184cc44a1af02,2,Hồ Chí Minh,Quận 6
a26184cc44a1af02,3,Hồ Chí Minh,Quận 7
a26184cc44a1af02,4,Hồ Chí Minh,Quận 12
a26184cc44a1af02,5,Hồ Chí Minh,Bình Chánh
